City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-vila,-17.7338,168.3219,24.78,78,100,5.14,VU,1698716132
1,anloga,5.7947,0.8973,27.74,78,23,2.15,GH,1698716320
2,bethel,41.3712,-73.414,10.42,82,100,2.57,US,1698716320
3,laguna,38.421,-121.4238,19.1,37,0,2.06,US,1698716321
4,grytviken,-54.2811,-36.5092,2.96,81,83,2.95,GS,1698716321
5,xianyang,34.3378,108.7026,15.58,82,85,1.0,CN,1698716237
6,enewetak,11.3474,162.3373,27.73,83,100,7.13,MH,1698716322
7,bull savanna,17.8868,-77.5902,25.58,82,70,2.37,JM,1698716322
8,invercargill,-46.4,168.35,17.23,66,100,1.34,NZ,1698716323
9,waitangi,-43.9535,-176.5597,12.49,87,100,12.48,NZ,1698716323
10,otra banda,18.6502,-68.6628,27.36,90,100,1.77,DO,1698716323
11,vernon,50.2581,-119.2691,4.23,66,10,0.51,CA,1698716115
12,aasiaat,68.7098,-52.8699,-10.12,89,29,4.11,GL,1698716324
13,illizi,26.4833,8.4667,24.92,17,0,4.2,DZ,1698716324
14,la passe,45.5549,-0.8967,14.99,84,81,11.35,FR,1698716325
15,hondo,32.45,130.2,18.57,54,0,2.15,JP,1698716325
16,port elizabeth,-33.918,25.5701,14.16,90,0,4.12,ZA,1698716325
17,albany,42.6001,-73.9662,6.47,81,100,0.45,US,1698715731
18,graaff-reinet,-32.2522,24.5308,7.73,91,0,1.06,ZA,1698716326
19,talnakh,69.4865,88.3972,-16.55,96,100,2.2,RU,1698716327
20,scottburgh,-30.2867,30.7532,15.02,88,100,1.65,ZA,1698716327
21,hermanus,-34.4187,19.2345,13.61,80,3,7.99,ZA,1698716327
22,yellowknife,62.456,-114.3525,-1.44,98,40,1.34,CA,1698716119
23,tashla,51.7716,52.7427,3.47,75,100,6.38,RU,1698716328
24,guane,22.2025,-84.0875,24.19,85,8,1.23,CU,1698716328
25,adamstown,-25.066,-130.1015,23.08,75,100,2.96,PN,1698716329
26,south lake tahoe,38.9332,-119.9844,6.65,40,0,0.45,US,1698716329
27,baise city,23.8997,106.6133,24.08,99,100,0.26,CN,1698716330
28,blackmans bay,-43.0167,147.3167,13.18,59,79,1.34,AU,1698716330
29,hawaiian paradise park,19.5933,-154.9731,27.73,84,100,4.63,US,1698716331
30,ushuaia,-54.8,-68.3,3.81,70,75,9.26,AR,1698716065
31,uzgen,40.7699,73.3007,16.16,38,100,1.84,KG,1698716331
32,trevelin,-43.0858,-71.4639,1.71,96,54,1.41,AR,1698716332
33,port alfred,-33.5906,26.891,14.3,79,25,6.68,ZA,1698716332
34,santa marta,11.2408,-74.199,28.27,81,40,3.6,CO,1698716078
35,constitucion,-35.3333,-72.4167,8.73,74,100,5.71,CL,1698716333
36,longyearbyen,78.2186,15.6401,0.91,75,100,3.6,SJ,1698716333
37,morro do chapeu,-11.55,-41.1561,20.8,45,66,3.95,BR,1698716333
38,salalah,17.0151,54.0924,25.05,83,0,2.06,OM,1698716334
39,tiksi,71.6872,128.8694,-20.72,100,81,1.18,RU,1698716334
40,stanley,54.868,-1.6985,7.09,96,75,2.06,GB,1698716334
41,curillo,1.0333,-75.9191,24.12,87,100,1.13,CO,1698716335
42,pacora,9.0833,-79.2833,27.99,100,75,1.03,PA,1698716335
43,edinburgh of the seven seas,-37.0676,-12.3116,13.45,96,100,12.76,SH,1698716336
44,tsaratanana,-16.7833,47.65,23.15,75,5,2.57,MG,1698716336
45,urengoy,65.9667,78.3667,-14.37,97,21,1.79,RU,1698716336
46,atafu village,-8.5421,-172.5159,29.07,73,32,6.52,TK,1698716337
47,iqaluit,63.7506,-68.5145,-12.15,78,75,7.2,CA,1698716337
48,bredasdorp,-34.5322,20.0403,13.49,78,0,5.41,ZA,1698716337
49,margaret river,-33.95,115.0667,18.13,43,78,2.19,AU,1698716338
50,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,0,6.0,RU,1698716338
51,kailua-kona,19.6406,-155.9956,29.17,78,0,5.66,US,1698716339
52,koungou,-12.7336,45.2042,25.84,89,0,0.0,YT,1698716339
53,punta arenas,-53.15,-70.9167,4.06,56,0,4.12,CL,1698716339
54,kindu,-2.95,25.95,21.54,98,100,1.16,CD,1698716340
55,port-aux-francais,-49.35,70.2167,3.72,88,100,17.52,TF,1698716340
56,ribeira grande,38.5167,-28.7,19.87,84,50,9.39,PT,1698716340
57,melfort,52.8667,-104.6177,-7.93,62,8,1.54,CA,1698716341
58,asslar,50.5916,8.4627,13.19,92,100,6.22,DE,1698716341
59,klyuchi,52.2667,79.1667,5.63,96,100,2.21,RU,1698716342
60,puerto ayora,-0.7393,-90.3518,23.64,92,100,1.34,EC,1698716342
61,zaozersk,69.4005,32.4476,-6.27,95,100,3.08,RU,1698716343
62,bluefields,12.0137,-83.7635,24.53,94,100,0.82,NI,1698716343
63,nchelenge,-9.3451,28.734,24.09,70,100,2.68,ZM,1698716344
64,saipan,15.1355,145.701,31.39,74,40,5.66,MP,1698716344
65,ulsteinvik,62.3432,5.8487,2.09,66,0,1.34,NO,1698716345
66,saki,8.6667,3.3833,23.92,86,100,1.14,NG,1698716345
67,codrington,-38.2667,141.9667,13.63,51,75,7.34,AU,1698716345
68,hasparren,43.3838,-1.305,17.91,71,75,1.54,FR,1698716346
69,bereznik,62.8551,42.7072,-5.69,88,91,1.08,RU,1698716346
70,smithers,54.7804,-127.1743,-0.82,80,40,1.54,CA,1698716347
71,manas,42.7275,47.6785,17.33,77,1,6.0,RU,1698716347
72,port mathurin,-19.6833,63.4167,24.39,82,30,8.49,MU,1698716348
73,berdigestyakh,62.0989,126.6992,-14.7,91,62,1.37,RU,1698716348
74,olonkinbyen,70.9221,-8.7187,1.8,75,100,5.14,SJ,1698716348
75,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698716349
76,nadi,-17.8,177.4167,34.0,52,20,4.63,FJ,1698716350
77,praia da vitoria,38.7333,-27.0667,19.31,82,40,8.07,PT,1698716350
78,thompson,55.7435,-97.8558,-6.91,73,100,2.57,CA,1698716351
79,cockburn town,21.4612,-71.1419,28.66,80,99,6.11,TC,1698716351
80,mahina,-17.5065,-149.489,27.87,74,75,4.12,PF,1698716352
81,howrah,22.5892,88.3103,24.0,88,85,2.57,IN,1698716352
82,hamilton,39.1834,-84.5333,4.84,88,75,3.09,US,1698716072
83,jamestown,42.097,-79.2353,4.77,83,100,4.12,US,1698716353
84,egilsstadir,65.2653,-14.3948,-7.05,93,0,2.57,IS,1698716353
85,luang namtha,20.9497,101.4011,21.85,93,100,0.27,LA,1698716354
86,saint johnsbury,44.4192,-72.0151,4.07,90,100,3.09,US,1698716354
87,hammerfest,70.6634,23.6821,2.25,80,20,5.14,NO,1698716354
88,el porvenir,13.7617,-87.3458,22.63,99,100,1.46,HN,1698716355
89,isangel,-19.55,169.2667,26.06,61,75,2.57,VU,1698716355
90,toliara,-23.35,43.6667,21.35,85,64,4.32,MG,1698716356
91,qaqortoq,60.7167,-46.0333,5.88,57,99,12.77,GL,1698716356
92,udachny,66.4167,112.4,-20.66,99,100,2.55,RU,1698716357
93,ilulissat,69.2167,-51.1,2.01,51,7,7.2,GL,1698716357
94,al jawf,29.5,38.75,18.49,62,14,2.14,SA,1698716357
95,broken hill,-31.95,141.4333,18.87,34,74,4.82,AU,1698716358
96,badger,64.8,-147.5333,0.93,78,75,0.0,US,1698716358
97,coronel suarez,-37.4547,-61.9334,8.2,26,96,3.42,AR,1698716358
98,el granada,37.5027,-122.4694,19.94,40,0,4.63,US,1698716360
99,villa emilio carranza,19.9667,-96.6,21.64,93,100,7.96,MX,1698716360
100,puerto natales,-51.7236,-72.4875,0.92,75,1,1.82,CL,1698716361
101,avarua,-21.2078,-159.775,25.03,69,75,5.66,CK,1698716361
102,yekaterinovka,52.0508,44.3451,8.92,83,100,7.61,RU,1698716362
103,san antonio de pale,-1.4014,5.6325,26.34,84,100,6.45,GQ,1698716362
104,izberbash,42.5696,47.8645,14.03,78,0,5.44,RU,1698716363
105,harsova,44.6833,27.9333,14.14,72,34,3.58,RO,1698716363
106,tazovsky,67.4667,78.7,-17.16,97,34,2.27,RU,1698716363
107,sabana grande de boya,18.945,-69.7933,23.22,93,100,2.35,DO,1698716364
108,isafjordur,66.0755,-23.124,1.55,73,45,1.83,IS,1698716364
109,lypova dolyna,50.5643,33.7979,10.36,87,83,3.39,UA,1698716365
110,ancud,-41.8697,-73.8203,5.21,89,11,2.98,CL,1698716365
111,west island,-12.1568,96.8225,25.99,89,100,6.17,CC,1698716366
112,mount gambier,-37.8333,140.7667,13.95,47,82,4.36,AU,1698716366
113,parkes,-33.1333,148.1833,22.3,15,2,6.31,AU,1698716367
114,anadyr,64.75,177.4833,3.28,93,75,3.58,RU,1698716367
115,santa cruz,-17.8,-63.1667,28.7,70,75,4.12,BO,1698716367
116,harnai,30.1005,67.9374,19.3,39,6,1.51,PK,1698716368
117,cabo san lucas,22.8909,-109.9124,27.51,77,20,4.63,MX,1698716158
118,lashio,22.9333,97.75,19.89,94,82,0.59,MM,1698716368
119,constantia,44.1833,28.65,11.5,80,2,3.24,RO,1698716369
120,inhambane,-23.865,35.3833,19.88,70,100,4.8,MZ,1698716369
121,lobatse,-25.2167,25.6667,9.56,80,100,6.99,BW,1698716369
122,fort mcmurray,56.7268,-111.381,-2.23,59,100,2.57,CA,1698716228
123,sitka,57.0531,-135.33,8.94,81,100,3.6,US,1698716370
124,neyriz,29.1988,54.3278,15.17,60,46,0.78,IR,1698716371
125,lindsdal,56.7333,16.3,9.36,98,100,3.09,SE,1698716371
126,pisco,-13.7,-76.2167,20.03,77,17,5.66,PE,1698716371
127,neryungri,56.6709,124.6491,-15.41,87,100,0.8,RU,1698716372
128,wailua homesteads,22.0669,-159.378,28.24,72,40,4.12,US,1698716372
129,cole harbour,44.6724,-63.4751,4.84,95,100,4.12,CA,1698716119
130,byron bay,-28.65,153.6167,32.62,47,2,6.9,AU,1698716373
131,haiku-pauwela,20.9219,-156.3051,28.01,67,40,7.72,US,1698716373
132,ndele,8.4109,20.6473,22.82,66,37,1.48,CF,1698716374
133,san pablo villa de mitla,16.9167,-96.4,20.13,86,33,2.99,MX,1698716374
134,fukuecho,32.6881,128.8419,20.2,60,20,2.06,JP,1698716375
135,iwanai,42.9744,140.5089,14.49,62,96,1.8,JP,1698716375
136,flin flon,54.7682,-101.865,-9.46,84,11,1.81,CA,1698716375
137,papatowai,-46.5619,169.4708,15.46,63,100,2.78,NZ,1698716376
138,rongelap,11.1635,166.8941,28.54,78,83,9.47,MH,1698716376
139,brokopondo,4.75,-55.1667,26.6,79,5,3.84,SR,1698716377
140,nuuk,64.1835,-51.7216,9.34,31,75,11.32,GL,1698716377
141,tangalle,6.024,80.7911,23.09,83,88,1.09,LK,1698716377
142,dolbeau-mistassini,48.8763,-72.212,0.36,89,41,3.92,CA,1698716378
143,jumla,29.2747,82.1838,10.59,68,14,1.31,NP,1698716378
144,saint-pierre,-21.3393,55.4781,22.82,64,0,4.63,RE,1698716379
145,kununurra,-15.7667,128.7333,35.89,33,100,2.45,AU,1698716379
146,carnarvon,-24.8667,113.6333,25.79,45,0,3.58,AU,1698716380
147,kisangani,0.5167,25.2,21.27,98,100,0.86,CD,1698716380
148,bam,29.106,58.357,21.56,27,74,2.97,IR,1698716380
149,kone,-21.0595,164.8658,26.55,48,30,3.96,NC,1698716381
150,yankton,42.8711,-97.3973,5.14,52,100,6.69,US,1698716382
151,yatou,37.15,122.3833,22.37,58,0,8.56,CN,1698716383
152,macheng,31.1783,115.0319,24.45,44,0,1.98,CN,1698716383
153,xam nua,20.4197,104.0439,20.76,74,100,1.18,LA,1698716383
154,beloyarskiy,63.7119,66.6722,-12.22,97,100,1.79,RU,1698716384
155,sinabang,2.4803,96.3801,26.53,81,99,1.64,ID,1698716384
156,masuguru,-11.3667,38.4167,23.47,82,94,0.98,TZ,1698716384
157,labasa,-16.4167,179.3833,29.65,72,79,1.91,FJ,1698716385
158,kristinestad,62.2743,21.376,-2.05,89,100,5.13,FI,1698716385
159,zouerate,22.7187,-12.4521,27.32,16,0,2.21,MR,1698716386
160,tomatlan,19.9333,-105.25,25.33,85,88,1.58,MX,1698716386
161,pacific grove,36.6177,-121.9166,20.97,49,0,2.68,US,1698716386
162,amga,60.8953,131.9608,-9.64,85,100,2.46,RU,1698716387
163,koryazhma,61.3143,47.1691,-2.27,82,100,1.19,RU,1698716388
164,taungoo,18.9333,96.4333,25.5,85,94,1.31,MM,1698716388
165,arraial do cabo,-22.9661,-42.0278,24.32,91,100,1.55,BR,1698716389
166,turaif,31.6725,38.6637,17.14,48,40,3.09,SA,1698716389
167,whitehorse,60.7161,-135.0538,1.56,93,100,2.57,CA,1698716099
168,mana,5.6592,-53.7767,26.74,86,8,4.84,GF,1698716390
169,warwick,41.7001,-71.4162,11.28,90,75,2.68,US,1698716160
170,umm kaddadah,13.6017,26.6876,29.22,24,100,9.19,SD,1698716391
171,lebu,-37.6167,-73.65,7.73,81,97,3.84,CL,1698716392
172,broome,42.2506,-75.833,6.05,95,100,2.57,US,1698716392
173,guatrache,-37.6678,-63.5302,9.77,25,100,1.71,AR,1698716393
174,bandraboua,-12.7044,45.1223,25.82,76,14,0.62,YT,1698716393
175,earlimart,35.8841,-119.2723,21.01,22,0,3.09,US,1698716394
176,palmer,42.1584,-72.3287,9.23,81,75,5.66,US,1698716394
177,college,64.8569,-147.8028,0.97,77,75,0.0,US,1698716394
178,santa elena de uairen,4.6167,-61.1333,22.51,66,45,1.81,VE,1698716395
179,kodiak,57.79,-152.4072,7.73,93,100,3.6,US,1698716395
180,port lincoln,-34.7333,135.8667,15.78,46,33,4.9,AU,1698716395
181,nkhata bay,-11.6066,34.2907,24.46,72,97,3.62,MW,1698716396
182,luanda,-8.8368,13.2343,25.0,83,75,1.54,AO,1698716030
183,nizhneangarsk,55.7833,109.55,-9.44,67,6,2.24,RU,1698716396
184,hotan,37.0997,79.9269,14.37,17,1,0.9,CN,1698716397
185,redding,40.5865,-122.3917,19.87,32,0,1.54,US,1698716397
186,sisimiut,66.9395,-53.6735,-1.11,61,81,4.71,GL,1698716397
187,aksu,41.1231,80.2644,12.72,35,100,1.08,CN,1698716398
188,iskateley,67.6803,53.1512,-6.66,95,90,4.47,RU,1698716398
189,georgetown,5.4112,100.3354,28.96,87,20,2.57,MY,1698716270
190,prince rupert,54.3161,-130.3201,6.83,80,0,2.06,CA,1698716331
191,kokuy,52.2037,117.5529,-3.51,28,100,0.72,RU,1698716399
192,chegdomyn,51.1167,133.0167,-2.03,51,85,1.16,RU,1698716400
193,san patricio,28.017,-97.5169,9.35,76,100,6.96,US,1698716400
194,kouroussa,10.65,-9.8833,23.8,67,37,1.1,GN,1698716401
195,luzino,54.9481,73.0353,-5.13,86,75,6.0,RU,1698716401
196,birobidzhan,48.8,132.95,2.12,47,100,0.34,RU,1698716401
197,yuzhno-kurilsk,44.0306,145.8556,11.32,81,23,4.97,RU,1698716402
198,ulubey,40.8721,37.7588,12.07,68,65,2.14,TR,1698716402
199,uturoa,-16.7333,-151.4333,26.5,79,8,8.0,PF,1698716403
200,geraldton,-28.7667,114.6,28.23,18,0,9.77,AU,1698716403
201,n'dalatando,-9.2978,14.9116,20.72,95,99,1.03,AO,1698716404
202,kurgan,55.45,65.3333,-5.59,96,80,3.58,RU,1698716404
203,san luis de la loma,17.2706,-100.8939,26.46,88,33,1.69,MX,1698716405
204,yazykovo,55.2199,56.1353,1.09,98,100,3.42,RU,1698716406
205,ust-nera,64.5667,143.2,-12.38,99,100,2.19,RU,1698716406
206,kerikeri,-35.2268,173.9474,18.56,89,97,3.95,NZ,1698716406
207,warrenton,-28.114,24.8475,9.55,70,100,7.23,ZA,1698716407
208,viedma,-40.8135,-62.9967,5.91,74,1,3.47,AR,1698716407
209,darwin,-12.4611,130.8418,33.83,62,75,1.54,AU,1698716408
210,keflavik,64.0049,-22.5624,3.24,75,75,6.69,IS,1698716408
211,kapuskasing,49.4169,-82.4331,-5.0,80,20,1.54,CA,1698716409
212,la ronge,55.1001,-105.2842,-9.86,73,0,1.54,CA,1698716409
213,utrik,11.2278,169.8474,28.22,79,100,7.94,MH,1698716410
214,mount isa,-20.7333,139.5,34.87,34,8,5.14,AU,1698716410
215,san francisco de la paz,14.9,-86.2,26.84,96,100,0.73,HN,1698716411
216,skeldon,5.8833,-57.1333,27.12,85,22,4.19,GY,1698716411
217,bontang,0.1333,117.5,29.72,66,73,3.16,ID,1698716412
218,chonchi,-42.6128,-73.8092,3.95,96,3,0.49,CL,1698716412
219,rosetta,31.4044,30.4164,24.17,84,100,4.49,EG,1698716413
220,moyynkum,44.2914,72.9469,11.55,75,100,8.46,KZ,1698716413
221,coronel dorrego,-38.7187,-61.2873,5.88,74,100,3.37,AR,1698716414
222,ufa,54.775,56.0375,1.08,97,100,5.81,RU,1698716414
223,astrakhan,46.3497,48.0408,3.93,100,34,1.0,RU,1698716415
224,leo,11.1,-2.1,26.92,34,7,0.71,BF,1698716415
225,al ghayzah,16.2079,52.176,25.54,73,85,2.27,YE,1698716416
226,novyy urengoy,66.0833,76.6333,-13.16,94,15,2.2,RU,1698716416
227,raton,36.9034,-104.4391,3.19,55,0,2.57,US,1698716417
228,yaren,-0.5472,166.916,28.7,69,76,2.51,NR,1698716417
229,mudgee,-32.5943,149.5871,23.68,14,68,5.78,AU,1698716418
230,novozavidovskiy,56.55,36.4333,6.1,99,99,1.83,RU,1698716418
231,rosso,16.4986,-15.8153,26.32,67,33,3.87,SN,1698716418
232,penzance,50.1186,-5.5371,13.38,87,28,8.89,GB,1698716419
233,quelimane,-17.8786,36.8883,23.97,88,75,3.09,MZ,1698716419
234,kamina,-8.7386,24.9906,18.61,95,100,1.97,CD,1698716420
235,nemuro,43.3236,145.575,11.72,71,13,5.32,JP,1698716421
236,nogliki,51.8333,143.1667,2.41,71,99,1.34,RU,1698716421
237,belousovka,50.1339,82.5239,8.47,93,100,1.0,KZ,1698716422
238,lompoc,34.6391,-120.4579,20.08,64,0,4.02,US,1698716422
239,lecheng,25.1238,113.3254,24.56,60,92,0.48,CN,1698716423
240,sterling,39.0062,-77.4286,12.38,70,100,8.23,US,1698716423
241,palikir - national government center,6.9248,158.1611,31.47,70,40,2.06,FM,1698716424
242,neiafu,-18.65,-173.9833,28.38,74,75,5.14,TO,1698716424
243,utena,55.5,25.6,6.75,94,100,3.5,LT,1698716425
244,bajina basta,43.9708,19.5675,11.46,54,26,2.95,RS,1698716425
245,pangai,-19.8,-174.35,28.06,74,40,6.69,TO,1698716425
246,zhengzhou,34.7578,113.6486,21.27,30,7,1.06,CN,1698716270
247,pangody,65.85,74.4859,-14.15,94,17,2.91,RU,1698716426
248,el nido,11.1858,119.3956,29.08,75,100,5.65,PH,1698716427
249,yermentau,51.6214,73.1069,3.44,91,98,5.91,KZ,1698716427
250,vadso,70.0744,29.7487,-1.91,80,40,5.66,NO,1698716428
251,hsinchu,24.8036,120.9686,26.59,66,6,4.02,TW,1698716428
252,pala,9.3642,14.9046,25.06,62,96,0.96,TD,1698716429
253,khandyga,62.6667,135.6,-9.24,93,100,2.19,RU,1698716429
254,glace bay,46.1969,-59.957,3.83,94,100,1.54,CA,1698716429
255,karsun,54.1994,46.9827,7.96,92,100,6.55,RU,1698716430
256,cooper's town,26.8667,-77.5167,26.22,88,10,8.23,BS,1698716430
257,bilibino,68.0546,166.4372,-15.11,78,70,1.05,RU,1698716431
258,melilla,35.2937,-2.9383,19.21,68,0,2.06,ES,1698716431
259,liwale,-9.7667,37.9333,21.24,88,100,0.98,TZ,1698716431
260,xiaoweizhai,26.1903,107.5125,20.24,61,99,0.61,CN,1698716432
261,kurchatov,51.6601,35.6521,12.45,87,100,3.51,RU,1698716433
262,happy valley-goose bay,53.3168,-60.3315,-2.83,54,20,4.12,CA,1698716433
263,qamdo,31.1667,97.2333,-1.1,59,63,0.74,CN,1698716434
264,ath thawrah,35.8469,38.5443,22.85,38,100,2.84,SY,1698716434
265,kristiansund,63.1115,7.732,-2.64,74,0,2.06,NO,1698716435
